{;lon;lat;id;tags{;name;ref:vatin;addr:postcode;addr:city;start_date;addr:street;addr:housenumber;};}
;7.62506761992525;45.021685487101003;101;;Roatis;IT06031100016;_10135;Torino;01/07/2017;Via Pramollo;_6;;
;7.6491634;45.01576245;102;;Sennacheribbo Di Sennacheribbo Luisa E Claudia Snc;IT06377940017;_10127;Torino;01/01/2005;Via Candiolo;_31;;
;7.64583309641007;45.0180524021835;103;;Vigliani;IT07933620010;_10127;Torino;01/01/2005;Via Onorato Vigliani;_160;;
;7.62850395;45.0642348;104;;Busatti Borgo San Paolo Sas Di Garrone Dott.ssa Luisa & C.;IT08268160010;_10141;Torino;01/09/2010;Via Monginevro;_57;;
;7.65565770608373;45.052172146290197;105;;Mazzoli;IT02099440014;_10129;Torino;01/03/2013;Corso Rosselli;_106/D;;
;7.52328791721825;45.036445882682997;106;;Delle Erbe Di Farmapiu' Torino Sas Della Dr.ssa Calatroni Daniela;IT10123670019;_10141;Torino;01/03/2013;Via Rivalta;_56/d;;
;7.64568899481472;45.068584504895902;107;;Bullio Dranzon;IT04778500019;_10141;Torino;01/02/2015;Corso Racconigi;_186;;
;7.62850395;45.0642348;108;;Gillone;IT06663770011;_10141;Torino;01/01/2005;Via Monginevro;_105;;
;7.63535975;45.06181775;109;;Sant'emilio Di Bruna Rosso D. E Vallenzasca L. Snc;IT00545960015;_10141;Torino;01/04/2007;Via Vincenzo Lancia;_11/D;;
;7.64922969806899;45.0602350515042;110;;San Bernardino Snc Del Dott. Paschetta S. & C.;IT07393720011;_10141;Torino;01/09/2010;Via Paolo Braccini;_101;;
;7.56143744983942;45.104263373398801;111;;Borgo San Paolo;IT05819520015;_10141;Torino;01/04/2007;Via San Paolo;_49/A;;
;7.6221131;45.07469625;112;;Frejus Del Dott. Ravazzini Rento;IT10628080011;_10138;Torino;01/07/2017;Corso Francia;_35;;
;7.6859719;45.0709201;113;;Comunale 17 - Afc;IT07019070015;_10138;Torino;01/01/2005;Corso Vittorio Emanuele II;_182/bis/C;;
;7.6859719;45.0709201;114;;Bernardi;IT04315880015;_10138;Torino;01/01/2005;Via Duchessa Jolanda;_15/bis/E;;
;7.5125811405649;45.080091573371803;115;;Dell'erica Sas Del Dott. Fachinetti Albino E C.;IT10561820019;_10138;Torino;01/07/2017;Via Di Nanni;_79/E;;
;7.6221131;45.07469625;116;;Braccio Snc Della Dr.ssa Fassio Claudia E C.;IT09595260010;_10138;Torino;01/03/2013;Via Almese;_2D;;
;7.6221131;45.07469625;117;;Porta Susa Snc Di E. E L. Platter;IT06351660011;_10138;Torino;01/01/2005;Corso Francia;_1/bis;;
;7.63746533715329;45.069334022797698;118;;Madonna Dei Fiori Di Prandi M.g. E I. Snc;IT06574440019;_10139;Torino;01/01/2005;Corso Peschiera;_244/A;;
;7.6859719;45.0709201;119;;Balocco;IT06588510013;_10138;Torino;01/01/2005;Corso Peschiera;_142/F;;
;7.64278970005559;45.070294646588501;120;;Cenisia Di Ventura Angelo E C. Sas;IT06645590016;_10139;Torino;01/01/2005;Via Frejus;_41;;
;7.65380336494147;45.071539165212201;121;;Del Benessere Di Fedeli Sas Del Dott. Marinello Stefano & C.;IT06915420019;_10138;Torino;01/01/2005;Piazza Adriano;_12;;
;7.62850395;45.0642348;122;;Comunale 45 - Afc;IT09971950010;_10138;Torino;01/08/2010;Via Monginevro;_29;;
;7.5125811405649;45.080091573371803;123;;Santa Rosa;IT07860820013;_10139;Torino;01/09/2010;Via Di Nanni;_42;;
;7.6594485;45.0402671;124;;Santa Rita Snc;IT09247120018;_10137;Torino;01/01/2008;Corso Sebastopoli;_143;;
;7.60439370614901;45.030639935558298;125;;Comunale 1 - Afc;IT09971950010;_10137;Torino;01/09/2010;Corso Orbassano;_249;;
;7.6594485;45.0402671;126;;Comunale 9 - Afc;IT09971950010;_10136;Torino;01/09/2010;Corso Sebastopoli;_272;;
;7.64589027648495;45.041747653738398;127;;Comunale 36 - Afc;IT01131720011;_10137;Torino;01/03/2013;Via Filadelfia;_142;;
;7.63968117536912;45.037834972351703;128;;Dell'orso;IT09967530016;_10137;Torino;01/03/2013;Via Buenos Aires;_77;;
;7.64040250885665;45.039403026929499;129;;Amici Snc Di Amici Paola E Luca;IT00936010016;_10134;Torino;01/01/2005;Via San Marino;_37;;
;7.6859719;45.0709201;130;;Comunale 37 - Afc;IT07019070015;_10137;Torino;01/01/2005;Corso Agnelli;_56;;
;7.60439370614901;45.030639935558298;131;;Rognone;IT00414760017;_10137;Torino;01/01/2005;Corso Orbassano;_216;;
;7.65024715;45.05228865;132;;Madonna Dell'aiuto;IT02584250019;_10136;Torino;01/01/2005;Via Tripoli;_15/A;;
;7.63499842298492;45.0573063186486;133;;San Pietro Snc Di Bonello Dott. Stefano E Cornelio Dott. Filippo;IT10831600019;_10137;Torino;01/07/2017;Corso Siracusa;_87;;
;7.64695287728981;45.046604460855903;134;;Del Borgo Di U.w.s. Sas Di Giaccone Mario;IT10289910019;_10136;Torino;01/10/2010;Via Barletta;_84/f;;
;7.51244122057268;45.076718888236201;136;;Althea Snc Della Dr.ssa Brussino Daniela;IT11289780014;_10137;Torino;01/07/2017;Via Gorizia;_133;;
;7.6594485;45.0402671;137;;Minati;IT07393730010;_10136;Torino;01/01/2005;Corso Sebastopoli;_202/B;;
;7.64695287728981;45.046604460855903;138;;Giaccone Di Braccio Snc Della Dr.ssa Fassio Claudia E C.;IT09595260010;_10136;Torino;01/03/2013;Via Barletta;_93;;
;7.6435972;45.0349796;139;;Roagna Snc Delle Dott.sse Suria M. E Roagna M. C.;IT07707620014;_10134;Torino;01/07/2008;Corso Agnelli;_117;;
;7.65024715;45.05228865;140;;Moderna Di Eurofarmacia Sas Del Dott. Torgani Roberto;IT09559770012;_10136;Torino;01/09/2010;Via Tripoli;_58;;
;7.64040250885665;45.039403026929499;141;;Beato Angelico Del Gruppo F.cie Popolari  Subalpine Sas Di Crepaldi E.;IT03170560019;_10137;Torino;01/01/2005;Via San Marino;_69;;
;7.6273312;45.0488844;142;;Comunale 23 - Afc;IT00582490017;_10137;Torino;01/04/2007;Via Guido Reni;_155/157;;
;7.61900892378344;45.039287853629098;143;;Comunale 35 - Afc;IT01131200014;_10137;Torino;01/04/2007;Via Cimabue;_8;;
;7.6859719;45.0709201;144;;Santi Cosma E Damiano Di Rosenkrantz Federica Maria;IT11286230013;_10137;Torino;01/07/2017;Piazza Omero;_16;;
;7.6594485;45.0402671;145;;Santa Silvia Snc Dei Dottori Luisella E Paolo Cagno;IT09964280011;_10136;Torino;01/09/2010;Corso Sebastopoli;_298;;
;7.6859719;45.0709201;146;;Filadelfia Dott.santomartino;IT10053630017;_10137;Torino;01/03/2013;Via Guido Reni 109/A;_;;
;7.6859719;45.0709201;147;;San Giorgio;IT05467360011;_10137;Torino;01/01/2005;Piazza Dante Livio Bianco;_10;;
;7.60439370614901;45.030639935558298;148;;Europa Di Mondino Dott.ssa Paola;IT11623330013;_10125;Torino;01/07/2017;Corso Orbassano;_302;;
;7.6379470038673;45.035292938444798;149;;Mirafiori Snc Di Cellura Dott. G. & C.;IT07444800010;_10137;Torino;01/01/2008;Via Sanremo;_37;;
;7.63256996144574;45.0410068231485;150;;Cosenza Di Sarnico Sara Simona Luisa;IT10753940013;_10137;Torino;01/07/2017;Corso Cosenza;_39;;
;7.6345498;45.0396853;151;;Pitagora Snc Delle Dott.sse D. Bonicelli E L. Ramassotto;IT07813090011;_10137;Torino;01/04/2007;Piazza Pitagora;_9;;
;7.63499842298492;45.0573063186486;152;;Corso Siracusa;IT08053820018;_10137;Torino;01/01/2008;Corso Siracusa;_98;;
;7.60947095;45.07095845;153;;Comunale 5 - Afc;IT09971950010;_10142;Torino;01/09/2010;Via Rieti;_55;;
;7.63507994792663;45.055278482400702;154;;Comunale 7 - Afc;IT09971950010;_10141;Torino;01/09/2010;Corso Trapani;_150;;
;7.64434931880366;45.075390895942199;155;;Baima Di Baima Poma Elena Maria & C. Snc;IT09950530015;_10139;Torino;01/05/2015;Piazza Rivoli;_11;;
;7.5923284;45.07147905;156;;Comunale 38 - Afc;IT00529840019;_10141;Torino;01/04/2007;Via Vandalino;_9/11;;
;7.63746533715329;45.069334022797698;157;;Peschiera Di Valori Giuseppe;IT08763380014;_10141;Torino;01/07/2016;Corso Peschiera;_295;;
;7.62850395;45.0642348;158;;Sburlati Emanuela;IT08753390015;_10141;Torino;01/09/2010;Via Monginevro;_126;;
;7.62850395;45.0642348;159;;Borgata Lesna Sas Della Dr.ssa Visconti Manuela E C.;IT10841570012;_10142;Torino;01/07/2017;Via Monginevro;_245;;
;7.62850395;45.0642348;160;;Monginevro;IT04974530018;_10141;Torino;01/01/2005;Via Monginevro;_178;;
;7.6859719;45.0709201;161;;Villa Giusti Di Allini Eredi;IT06715200017;_10142;Torino;01/09/2010;Via S. M. Mazzarello;_18/D;;
;7.6221131;45.07469625;162;;Corso Francia;IT05917190018;_10139;Torino;01/01/2005;Corso Francia;_175;;
;7.32209651756328;44.877038748937203;163;;Gancia Dimitri;IT10843570010;_10142;Torino;01/07/2017;Via Asiago;_35;;
;7.6221131;45.07469625;164;;Donato Di Donato Giulia E C. Snc;IT06575730012;_10142;Torino;01/01/2005;Corso Francia;_385;;
;7.56326711110861;45.074390924024399;165;;San Benedetto Di Dalmasso Dott. Luca;IT11567230013;_10139;Torino;01/07/2017;Via Bardonecchia;_114;;
;7.6221131;45.07469625;166;;Pozzo Strada Snc Delle Dott.sse Gozzelino Grazia Maria E Bianco Loreda;IT09007200018;_10139;Torino;01/09/2010;Corso Francia;_273;;
;7.6186181;45.07461385;167;;Piazza Massaua Snc;IT08760910011;_10141;Torino;01/09/2017;Piazza Massaua;_1;;
;7.62657215301106;45.063295550576903;168;;Brunelleschi;IT07387670016;_10141;Torino;01/01/2005;Corso Brunelleschi;_75/c;;
;7.6859719;45.0709201;169;;Parini Snc;IT07873340017;_10142;Torino;01/09/2010;Via Franceso De Sanctis;_60;;
;7.64278970005559;45.070294646588501;170;;San Giovanni Sas Della Dr.ssa Maria Edvige Mai & C.;IT08476620011;_10139;Torino;01/03/2013;Via Frejus;_97/A;;
;7.65832602742841;45.082732994120597;171;;F.cia Borelli Di Rinaudo E.;IT00510810013;_10144;Torino;01/02/2017;Via San Donato;_9;;
;7.6859719;45.0709201;172;;Monge;IT00510950017;_10144;Torino;01/01/2005;Corso R. Margherita;_218/bis;;
;7.65606425;45.0814213;173;;Santa Zita Sacchi;IT08608970011;_10143;Torino;01/09/2010;Via Luigi Cibrario;_33/bis;;
;7.67253301111757;45.080562645790202;174;;Bonanno;IT10153910012;_10144;Torino;01/11/2011;Corso Regina Margherita;_256;;
;7.65606425;45.0814213;175;;Crida Di Ferro Dr.ssa Maria Gemma;IT10465660016;_10143;Torino;01/03/2011;Via Luigi Cibrario;_88;;
;7.65621943579421;45.079220791107602;176;;Scotti Sas Del Dr. Scotti Luca & C.;IT10372060011;_10143;Torino;01/01/2011;Via Nicola Fabrizi;_11;;
;7.6495844;45.08380735;177;;Comunale 44 - Afc;IT00529840019;_10144;Torino;01/04/2007;Via Cibrario;_72;;
;7.6859719;45.0709201;178;;Sant'alfonso Di Gambino Dott. Francesca;IT10841110017;_10144;Torino;01/07/2017;Corso Alessandro Tassoni;_66/D;;
;7.6487287;45.07572155;179;;Stroppiana Delle Dott.sse Velca E Carla Snc;IT06672810014;_10143;Torino;01/01/2005;Corso Svizzera;_42;;
;7.6859719;45.0709201;180;;Manenti;IT07208500012;_10143;Torino;01/01/2005;Via Pietro Piffetti;_31/bis;;
;7.65832602742841;45.082732994120597;181;;San Donato;IT02810710018;_10144;Torino;01/01/2005;Via San Donato;_55;;
;7.65621943579421;45.079220791107602;182;;Farmacia Santa Marta Sas Della Dr.ssa Morigi Adriana E C.;IT11623340012;_10145;Torino;01/07/2017;Via Nicola Fabrizi;_102;;
;7.6859719;45.0709201;183;;Comunale 10 - Afc;IT01117100014;_10146;Torino;01/04/2007;Via Asinari Vittorio Di Bernezzo;_134;;
;7.6458477491207;45.079421612187097;184;;Rinetti;IT08440620014;_10145;Torino;01/01/2005;Corso Lecce;_31;;
;7.63268615;45.0826962;185;;Castaldi;IT10248430018;_10146;Torino;01/02/2015;Piazza Tommaso Campanella;_9;;
;7.6859719;45.0709201;186;;Comunale 22 - Afc;IT05331560010;_10146;Torino;01/04/2007;Via Capelli;_47;;
;7.6859719;45.0709201;187;;Comunale 24 - Afc;IT06687440013;_10146;Torino;01/04/2007;Via Bellardi;_3;;
;7.63268088942307;45.079990142196998;188;;Lucente;IT00547110015;_10146;Torino;01/01/2005;Via Valentino Carrera;_88;;
